year,category,count
1974,Leisure,432
1974,Home,44
1974,Money,92
1974,Social,2491
1974,Family,73
1974,Friends,33
1974,Colour,9
1975,She,293
1975,He,207
1975,CoreHe,205
1975,CoreShe,232
1975,Achiev,164
1975,Work,56
1975,Body,236
1975,See,313
1975,Hear,234
1975,Feel,232
1975,Health,152
1975,Leisure,258
1975,Home,85
1975,Money,67
1975,Social,2537
1975,Family,58
1975,Friends,108
1975,Colour,10
1976,She,372
1976,He,114
1976,CoreHe,114
1976,CoreShe,302
1976,Achiev,192
1976,Work,66
1976,Body,194
1976,See,225
1976,Hear,294
1976,Feel,218
1976,Health,184
1976,Leisure,528
1976,Home,62
1976,Money,108
1976,Social,3076
1976,Family,41
1976,Friends,45
1976,Colour,25
1977,She,314
1977,He,173
1977,CoreHe,173
1977,CoreShe,279
1977,Achiev,221
1977,Work,86
1977,Body,253
1977,See,249
1977,Hear,222
1977,Feel,295
1977,Health,146
1977,Leisure,435
1977,Home,69
1977,Money,87
1977,Social,2482
1977,Family,25
1977,Friends,33
1977,Colour,3
1978,She,215
1978,He,124
1978,CoreHe,124
1978,CoreShe,187
1978,Achiev,191
1978,Work,56
1978,Body,197
1978,See,371
1978,Hear,144
1978,Feel,234
1978,Health,179
1978,Leisure,443
1978,Home,65
1978,Money,51
1978,Social,2551
1978,Family,33
1978,Friends,58
1978,Colour,3
1979,She,180
1979,He,193
1979,CoreHe,193
1979,CoreShe,136
1979,Achiev,251
1979,Work,63
1979,Body,194
1979,See,257
1979,Hear,291
1979,Feel,277
1979,Health,188
1979,Leisure,316
1979,Home,98
1979,Money,78
1979,Social,3071
1979,Family,27
1979,Friends,49
1979,Colour,0
1980,She,169
1980,He,150
1980,CoreHe,150
1980,CoreShe,105
1980,Achiev,223
1980,Work,69
1980,Body,174
1980,See,253
1980,Hear,223
1980,Feel,228
1980,Health,206
1980,Leisure,357
1980,Home,74
1980,Money,57
1980,Social,2745
1980,Family,33
1980,Friends,71
1980,Colour,8
1981,She,320
1981,He,166
1981,CoreHe,166
1981,CoreShe,288
1981,Achiev,276
1981,Work,33
1981,Body,290
1981,See,273
1981,Hear,217
1981,Feel,309
1981,Health,225
1981,Leisure,349
1981,Home,44
1981,Money,68
1981,Social,2828
1981,Family,11
1981,Friends,55
1981,Colour,1
1982,She,372
1982,He,158
1982,CoreHe,158
1982,CoreShe,347
1982,Achiev,235
1982,Work,65
1982,Body,335
1982,See,346
1982,Hear,306
1982,Feel,293
1982,Health,164
1982,Leisure,348
1982,Home,47
1982,Money,80
1982,Social,3233
1982,Family,8
1982,Friends,52
1982,Colour,13
1983,She,504
1983,He,206
1983,CoreHe,205
1983,CoreShe,446
1983,Achiev,333
1983,Work,99
1983,Body,354
1983,See,345
1983,Hear,378
1983,Feel,279
1983,Health,223
1983,Leisure,504
1983,Home,72
1983,Money,79
1983,Social,3662
1983,Family,56
1983,Friends,58
1983,Colour,1
1984,She,367
1984,He,145
1984,CoreHe,145
1984,CoreShe,299
1984,Achiev,291
1984,Work,76
1984,Body,393
1984,See,459
1984,Hear,374
1984,Feel,343
1984,Health,226
1984,Leisure,396
1984,Home,71
1984,Money,75
1984,Social,3242
1984,Family,21
1984,Friends,46
1984,Colour,12
1985,She,293
1985,He,165
1985,CoreHe,165
1985,CoreShe,265
1985,Achiev,284
1985,Work,61
1985,Body,290
1985,See,309
1985,Hear,212
1985,Feel,521
1985,Health,196
1985,Leisure,423
1985,Home,99
1985,Money,121
1985,Social,3368
1985,Family,20
1985,Friends,76
1985,Colour,5
1986,She,224
1986,He,254
1986,CoreHe,254
1986,CoreShe,187
1986,Achiev,238
1986,Work,60
1986,Body,324
1986,See,263
1986,Hear,320
1986,Feel,285
1986,Health,217
1986,Leisure,378
1986,Home,85
1986,Money,65
1986,Social,3006
1986,Family,25
1986,Friends,54
1986,Colour,5
1987,She,190
1987,He,116
1987,CoreHe,116
1987,CoreShe,159
1987,Achiev,310
1987,Work,56
1987,Body,326
1987,See,352
1987,Hear,294
1987,Feel,296
1987,Health,225
1987,Leisure,267
1987,Home,50
1987,Money,102
1987,Social,3218
1987,Family,30
1987,Friends,81
1987,Colour,2
1988,She,295
1988,He,139
1988,CoreHe,139
1988,CoreShe,264
1988,Achiev,211
1988,Work,54
1988,Body,383
1988,See,405
1988,Hear,231
1988,Feel,350
1988,Health,240
1988,Leisure,272
1988,Home,55
1988,Money,93
1988,Social,3579
1988,Family,20
1988,Friends,61
1988,Colour,1
1989,She,437
1989,He,209
1989,CoreHe,207
1989,CoreShe,355
1989,Achiev,280
1989,Work,68
1989,Body,430
1989,See,393
1989,Hear,297
1989,Feel,324
1989,Health,301
1989,Leisure,356
1989,Home,135
1989,Money,75
1989,Social,4154
1989,Family,19
1989,Friends,68
1989,Colour,6
1990,She,411
1990,He,182
1990,CoreHe,182
1990,CoreShe,373
1990,Achiev,387
1990,Work,115
1990,Body,381
1990,See,373
1990,Hear,256
1990,Feel,372
1990,Health,351
1990,Leisure,302
1990,Home,68
1990,Money,170
1990,Social,3904
1990,Family,16
1990,Friends,112
1990,Colour,15
1991,She,227
1991,He,206
1991,CoreHe,206
1991,CoreShe,198
1991,Achiev,297
1991,Work,70
1991,Body,366
1991,See,407
1991,Hear,323
1991,Feel,399
1991,Health,201
1991,Leisure,490
1991,Home,104
1991,Money,73
1991,Social,3528
1991,Family,28
1991,Friends,52
1991,Colour,19
1992,She,250
1992,He,199
1992,CoreHe,199
1992,CoreShe,218
1992,Achiev,269
1992,Work,55
1992,Body,477
1992,See,389
1992,Hear,217
1992,Feel,334
1992,Health,198
1992,Leisure,325
1992,Home,82
1992,Money,117
1992,Social,3872
1992,Family,122
1992,Friends,95
1992,Colour,23
1993,She,326
1993,He,317
1993,CoreHe,316
1993,CoreShe,288
1993,Achiev,299
1993,Work,109
1993,Body,513
1993,See,401
1993,Hear,375
1993,Feel,322
1993,Health,318
1993,Leisure,335
1993,Home,120
1993,Money,124
1993,Social,4126
1993,Family,99
1993,Friends,92
1993,Colour,13
1994,She,284
1994,He,195
1994,CoreHe,194
1994,CoreShe,203
1994,Achiev,265
1994,Work,79
1994,Body,401
1994,See,403
1994,Hear,329
1994,Feel,338
1994,Health,295
1994,Leisure,307
1994,Home,69
1994,Money,66
1994,Social,3730
1994,Family,49
1994,Friends,69
1994,Colour,22
1995,She,353
1995,He,248
1995,CoreHe,247
1995,CoreShe,246
1995,Achiev,266
1995,Work,82
1995,Body,435
1995,See,372
1995,Hear,362
1995,Feel,334
1995,Health,281
1995,Leisure,414
1995,Home,73
1995,Money,127
1995,Social,4316
1995,Family,58
1995,Friends,67
1995,Colour,12
1996,She,315
1996,He,139
1996,CoreHe,139
