year,category,count
2005,She,0
2005,He,22
2005,CoreHe,22
2005,CoreShe,0
2005,Achiev,156
2005,Work,41
2005,Body,162
2005,See,109
2005,Hear,121
2005,Feel,94
2005,Health,101
2005,Leisure,167
2005,Home,21
2005,Money,25
2005,Social,1186
2005,Family,9
2005,Friends,17
2005,Colour,1
2006,She,0
2006,He,51
2006,CoreHe,51
2006,CoreShe,0
2006,Achiev,116
2006,Work,42
2006,Body,123
2006,See,82
2006,Hear,126
2006,Feel,113
2006,Health,79
2006,Leisure,107
2006,Home,34
2006,Money,41
2006,Social,1082
2006,Family,2
2006,Friends,10
2006,Colour,4
2007,She,0
2007,He,59
2007,CoreHe,59
2007,CoreShe,0
2007,Achiev,95
2007,Work,13
2007,Body,55
2007,See,81
2007,Hear,86
2007,Feel,58
2007,Health,77
2007,Leisure,46
2007,Home,21
2007,Money,29
2007,Social,764
2007,Family,4
2007,Friends,12
2007,Colour,11
2008,She,0
2008,He,9
2008,CoreHe,9
2008,CoreShe,0
2008,Achiev,111
2008,Work,22
2008,Body,174
2008,See,99
2008,Hear,212
2008,Feel,116
2008,Health,117
2008,Leisure,151
2008,Home,21
2008,Money,29
2008,Social,1348
2008,Family,4
2008,Friends,5
2008,Colour,1
2009,She,0
2009,He,15
2009,CoreHe,15
2009,CoreShe,0
2009,Achiev,95
2009,Work,10
2009,Body,112
2009,See,102
2009,Hear,79
2009,Feel,90
2009,Health,49
2009,Leisure,100
2009,Home,35
2009,Money,51
2009,Social,833
2009,Family,8
2009,Friends,7
2009,Colour,1
2010,She,0
2010,He,20
2010,CoreHe,20
2010,CoreShe,0
2010,Achiev,139
2010,Work,29
2010,Body,160
2010,See,93
2010,Hear,75
2010,Feel,97
2010,Health,117
2010,Leisure,104
2010,Home,28
2010,Money,21
2010,Social,1028
2010,Family,6
2010,Friends,3
2010,Colour,2
2011,She,0
2011,He,77
2011,CoreHe,77
2011,CoreShe,0
2011,Achiev,171
2011,Work,26
2011,Body,198
2011,See,129
2011,Hear,202
2011,Feel,199
2011,Health,98
2011,Leisure,173
2011,Home,20
2011,Money,33
2011,Social,1330
2011,Family,5
2011,Friends,6
2011,Colour,3
2012,She,0
2012,He,9
2012,CoreHe,9
2012,CoreShe,0
2012,Achiev,140
2012,Work,34
2012,Body,239
2012,See,222
2012,Hear,108
2012,Feel,173
2012,Health,115
2012,Leisure,159
2012,Home,29
2012,Money,63
2012,Social,1582
2012,Family,5
2012,Friends,17
2012,Colour,7
2013,She,0
2013,He,36
2013,CoreHe,36
2013,CoreShe,0
2013,Achiev,197
2013,Work,40
2013,Body,246
2013,See,220
2013,Hear,147
2013,Feel,202
2013,Health,125
2013,Leisure,167
2013,Home,33
2013,Money,59
2013,Social,1508
2013,Family,6
2013,Friends,20
2013,Colour,0
2014,She,0
2014,He,37
2014,CoreHe,37
2014,CoreShe,0
2014,Achiev,141
2014,Work,34
2014,Body,153
2014,See,141
2014,Hear,158
2014,Feel,167
2014,Health,76
2014,Leisure,147
2014,Home,31
2014,Money,50
2014,Social,1264
2014,Family,4
2014,Friends,10
2014,Colour,6
2015,She,0
2015,He,31
2015,CoreHe,31
2015,CoreShe,0
2015,Achiev,90
2015,Work,18
2015,Body,145
2015,See,168
2015,Hear,71
2015,Feel,93
2015,Health,101
2015,Leisure,103
2015,Home,28
2015,Money,26
2015,Social,1254
2015,Family,19
2015,Friends,11
2015,Colour,2
