year,category,count
1995,CoreHe,0
1995,CoreShe,146
1995,Achiev,148
1995,Work,29
1995,Body,206
1995,See,109
1995,Hear,216
1995,Feel,182
1995,Health,134
1995,Leisure,179
1995,Home,19
1995,Money,23
1995,Social,2316
1995,Family,17
1995,Friends,39
1995,Colour,0
1996,She,147
1996,He,0
1996,CoreHe,0
1996,CoreShe,98
1996,Achiev,112
1996,Work,38
1996,Body,186
1996,See,228
1996,Hear,170
1996,Feel,164
1996,Health,193
1996,Leisure,162
1996,Home,43
1996,Money,98
1996,Social,1997
1996,Family,37
1996,Friends,39
1996,Colour,4
1997,She,140
1997,He,0
1997,CoreHe,0
1997,CoreShe,118
1997,Achiev,179
1997,Work,39
1997,Body,285
1997,See,227
1997,Hear,147
1997,Feel,238
1997,Health,166
1997,Leisure,245
1997,Home,57
1997,Money,61
1997,Social,2387
1997,Family,13
1997,Friends,60
1997,Colour,3
1998,She,190
1998,He,0
1998,CoreHe,0
1998,CoreShe,103
1998,Achiev,143
1998,Work,27
1998,Body,413
1998,See,224
1998,Hear,221
1998,Feel,223
1998,Health,186
1998,Leisure,191
1998,Home,45
1998,Money,48
1998,Social,2349
1998,Family,23
1998,Friends,9
1998,Colour,6
1999,She,205
1999,He,0
1999,CoreHe,0
1999,CoreShe,173
1999,Achiev,152
1999,Work,75
1999,Body,234
1999,See,213
1999,Hear,211
1999,Feel,227
1999,Health,157
1999,Leisure,165
1999,Home,60
1999,Money,111
1999,Social,2166
1999,Family,20
1999,Friends,10
1999,Colour,6
2000,She,246
2000,He,0
2000,CoreHe,0
2000,CoreShe,229
2000,Achiev,166
2000,Work,19
2000,Body,228
2000,See,223
2000,Hear,200
2000,Feel,221
2000,Health,152
2000,Leisure,243
2000,Home,41
2000,Money,41
2000,Social,2491
2000,Family,50
2000,Friends,38
2000,Colour,8
2001,She,189
2001,He,0
2001,CoreHe,0
2001,CoreShe,171
2001,Achiev,189
2001,Work,41
2001,Body,265
2001,See,226
2001,Hear,129
2001,Feel,142
2001,Health,181
2001,Leisure,217
2001,Home,91
2001,Money,68
2001,Social,2142
2001,Family,19
2001,Friends,23
2001,Colour,10
2002,She,232
2002,He,0
2002,CoreHe,0
2002,CoreShe,176
2002,Achiev,152
2002,Work,14
2002,Body,171
2002,See,168
2002,Hear,100
2002,Feel,150
2002,Health,224
2002,Leisure,185
2002,Home,31
2002,Money,51
2002,Social,1792
2002,Family,79
2002,Friends,37
2002,Colour,3
2003,She,179
2003,He,0
2003,CoreHe,0
2003,CoreShe,121
2003,Achiev,171
2003,Work,44
2003,Body,237
2003,See,191
2003,Hear,80
2003,Feel,143
2003,Health,115
2003,Leisure,127
2003,Home,58
2003,Money,27
2003,Social,1769
2003,Family,8
2003,Friends,26
2003,Colour,3
2004,She,219
2004,He,0
2004,CoreHe,0
2004,CoreShe,174
2004,Achiev,131
2004,Work,43
2004,Body,181
2004,See,102
2004,Hear,117
2004,Feel,132
2004,Health,107
2004,Leisure,128
2004,Home,31
2004,Money,57
2004,Social,1475
2004,Family,21
2004,Friends,10
2004,Colour,6
2005,She,168
2005,He,0
2005,CoreHe,0
2005,CoreShe,157
2005,Achiev,147
2005,Work,40
2005,Body,191
2005,See,109
2005,Hear,182
2005,Feel,156
2005,Health,79
2005,Leisure,179
2005,Home,51
2005,Money,19
2005,Social,1506
2005,Family,9
2005,Friends,24
2005,Colour,0
2006,She,202
2006,He,0
2006,CoreHe,0
2006,CoreShe,173
2006,Achiev,126
2006,Work,34
2006,Body,187
2006,See,97
2006,Hear,162
2006,Feel,156
2006,Health,97
2006,Leisure,130
2006,Home,51
2006,Money,27
2006,Social,1376
2006,Family,14
2006,Friends,12
2006,Colour,2
2007,She,172
2007,He,0
2007,CoreHe,0
2007,CoreShe,141
2007,Achiev,142
2007,Work,29
2007,Body,201
2007,See,188
2007,Hear,123
2007,Feel,228
2007,Health,86
2007,Leisure,97
2007,Home,70
2007,Money,41
2007,Social,1662
2007,Family,6
2007,Friends,26
2007,Colour,11
2008,She,135
2008,He,0
2008,CoreHe,0
2008,CoreShe,113
2008,Achiev,138
2008,Work,39
2008,Body,203
2008,See,187
2008,Hear,154
2008,Feel,170
2008,Health,179
2008,Leisure,175
2008,Home,24
2008,Money,55
2008,Social,1656
2008,Family,2
2008,Friends,13
2008,Colour,11
2009,She,210
2009,He,0
2009,CoreHe,0
2009,CoreShe,165
2009,Achiev,178
2009,Work,30
2009,Body,164
2009,See,249
2009,Hear,217
2009,Feel,174
2009,Health,153
2009,Leisure,161
