,Unnamed: 0,Lyrics,Year,dominant_gender,Emotions
20,55,ian whitcomb miscellaneous you turn me on turn on song you turn me on ian whitcomb come on now honey you know you really turn me on come on now honey you know you really turn me on and when and when you do uh huh huh huh uh uh thats my song come on now baby come on and do the jerk with me come on now honey come on and do the jerk with me and if if you do uh huh huh huh uh uh thats my song break come on now baby you know you really turn me on ah come on now honey you know you really turn me on ah yeah and when and when you do uh huh huh huh uh uh thats my song lets go taken from the 45 from kay w simons,1965,female,
21,60,and here come the kinks with all day and all of the night im not content to be with you in the daytime girl i want to be with you all of the time the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night all day and all of the night i believe that you and me last forever oh yeah all day and nighttime yours leave me never the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night oh come on i believe that you and me last forever oh yeah all day and nighttime yours leave me never the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night time all day and all of the night,1965,female,"{'score': 0.8933, 'tone_id': 'confident', 'tone_name': 'Confident'}"
22,64, shake shake shake shakelistenlisten while i talk to you i tell you what were gonna do theres a new thing thats going around and ill tell you what theyre puttin downjust move your body all around and just shake oh mamma shake thats the way to do it shake oh youre looking good now shake yeah hashake it like a bowl of soup and make your body loop de loop put your hands on your hips and kinda let your backbone slip move your body like a whip and just shakeumm thats doing it shake yeah youre looking good now shake go on do it baby shake yeah ohha ringalingaling honey shakin is the latest thing and if you want to swing just loosen up them shouldersand if you want to really roll you got to do the thing with soul shake the shake with all your might oh if you do it do it right just make your body loose and light and kinda shake oh honeyshake hoo shake oh thats the way to do it shake ah ah ah ah ahyeahalrightoh youre doing it now honeycmon loosen up them shouldersif you want to really roll got to do the thing with soul shake the shake with all your might now if you do it do it right make your body loose and light and just shake oh i like to do it shake make me feel good now shake all gone baby shake dont be shy now shake dance with you mama shake dont do it baby shake oh yeah shake ,1965,female,"{'score': 0.55242, 'tone_id': 'joy', 'tone_name': 'Joy'}"
23,67,sick at heart and lonely deep in dark despair thinking one thought only where is she tell me where and if she says to you she dont love me just give her my message tell her of my plea and i know well if she had me back again well i would never make her sad ive gotta heart full of soul and i know well if she had me back again well i would never make her sad ive gotta heart full of soul shes been gone such a long time longer than i can bear but if she says she wants me tell her that ill be there and if she says to you she dont love me just give her my message tell her of my plea and i know well if she had me back again well i would never make her sad ive gotta heart full of soul,1965,female,"{'score': 0.836887, 'tone_id': 'sadness', 'tone_name': 'Sadness'}"
24,72, and if she should tell you come closer and if she tempts you with her charmstell her no no no no no no no no no no no no no no no no no no no no no dont hurt me now for her love belongs to meand if she should tell you come closer and if she tempts you with her charmstell her no no no no no no no no no no no no no no no no dont take her love for your arms no no no no no dont hurt me now for her love belongs to mei know shes the kind of girl whod throw my love away but i still love her so dont hurt me now dont hurt me nowif she tells you i love you just remember she said that to metell her no no no no no no no no no no no no no no no no dont take her love from my arms no no no no no dont leave her now for her love belongs to me ,1965,female,"{'score': 0.773893, 'tone_id': 'joy', 'tone_name': 'Joy'}"
25,73,peter miscellaneous i go to pieces i go to pieces del shannon d shannon when i see her comin down the street i get so shaky and i feel so weak i tell my eyes look the other way but they dont seem to hear a word i say and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by i tell my arms theyll hold someone new another love that will be true but they dont listen they dont seem to care they reach for her but shes not there and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by i remember what she said when she said goodbye baby well meet again soon maybe but until we do all my best to you im so lonely i think about her only i go to places we used to go but i know shell never show she hurt me so much inside now i hope shes satisfied and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by go to pieces and i cry everytime my baby passes by go to pieces and i cry,1965,female,"{'score': 0.911145, 'tone_id': 'sadness', 'tone_name': 'Sadness'}"
26,74,vic dana miscellaneous red roses for a blue lady red roses for a blue lady artist vic dana peak billboard position  10 in 1965 words and music by sid tepper and roy bennett just edged out contemporary  11 hit by bert kaempfert soundly beat wayne newtons contemporary  23 version previously a  3 hit for vaughn monroe in 1949 i want some red roses for a blue lady mister florist take my order please we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown i want some red roses for a blue lady we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown your best white orchid for her wedding gown transcribed by ronald e hontz ronhontzworldnetattnet,1965,female,"{'score': 0.750687, 'tone_id': 'joy', 'tone_name': 'Joy'}"
27,76,people say im the life of the party cause i tell a joke or two although i might be laughing loud and hearty deep inside im blue so take a good look at my face you know my smile looks out of place if you look closer its easy to trace the tracks of my tears i need you need you since you left me if you see me with another girl looking like im having fun although she may be cute shes just a substitute cause youre the permanent one so take a good look at my face you know my smile looks out of place if you look closer its easy to trace the tracks of my tears outside im masquerading inside my hope is fading im just a clown since you put me down my smile is my make up i wear since my breakup with you baby take a good look at my face you know my smile looks out of place if you look closer its easy to trace the tracks of my tears,1965,female,"{'score': 0.670109, 'tone_id': 'joy', 'tone_name': 'Joy'}"
28,78,come on come on let me show you where its at ah come on come on let me show you where its at wow come on come on let me show you where its at i said the name of the place is i like it like that come on come on let me show you where its at ah come on come on let me show you where its at whoa i wanna show you come on let me show you where its at the name of the place is i like it like that they got a little place adown the track the name of the place is i like it like that you take sally and ill take sue and were gonna rock away all of our blues come on come on let me show you where its at oh come on come on let me show you where its at ah come on come on let me show you where its at the name of the place is i like it like that the last time i was down they lost my shoes they had some cat shoutin the blues the people was yellin and shoutin for more and all they kept sayin wasa go man go come on come on let me show you where its at ah come on come on let me show you where its at oh i wanna show you come on let me show you where its at i said the name of the place is i like it like that come on come on let me show you where its at ah come on come on let me show you where its at oh come on come on let me show you where its at the name of the place is i like it like that,1965,male,
29,79,little things that you do  make me glad im in love with you little things that you say  make me glad that i feel this way the way you smile the way you hold my hand and when im down you always understand you know i love those little things i hear that you say when theres no one near little things that you do  let me know that your love is true when we walk you like to hold my hand and when we talk you tell me im your man you know i love those little things that i knew the little things you whispered in my ear i know there aint nobody else like you no one could do the little things you do little things that you do  make me glad im in love with you little things that you say  make me glad that i feel this way when we walk you like to hold my hand and when we talk you tell me im your man you know i love those little things that i knew the little things you whispered in my ear i know there aint nobody else like you,1965,male,"{'score': 0.887566, 'tone_id': 'joy', 'tone_name': 'Joy'}"
